"","id","rtl","sex","age","year","bm","bs","bci","dens","densmin1","densmin2","densa","mort","juvex","brood","emi","eri","cci","tti","tli","shi","mii","mbi","mli","gli","lai","ali","oci","parrich","endr","ectr","totr","emp","erp","ccp","ttp","tlp","shp","mip","mbp","mlp","glp","lap","alp","ocp","cocp","help","licp","mitp","endp","ectp","totp","emer","hel","tlsh","mimb","glla","lic","emd","erd","ccd","ttd","gld","lad","ald","tld","shd","mid","mbd","ocd","MASL","WeightNE","Wing","Head","SternL","SternLCorL","TotalFat","LDBM","DigestivTrLength..SI.LI.2xceca.","Gut...rectum..SI.","Caecum","ceca.weight","ceca.Gut.length","L.combination","BCI...4","gut.length","weight","ind.gut.length.body.weight","Diet.Simpson","Diet.Shannon","Diet.Richness","Diet.Centroid_Distance","BCI...12","TarsMT","PC1","BC.index","Standardized.BC.index","Clostridia.UCG.014.Relative.Abundance","Shuttleworthia.Relative.Abundance","Actinomyces.Relative.Abundance","Colidextribacter.Relative.Abundance","Shannon.Diversity.Index"
"491","12-172",5.79023483576884,"male","adult","2012",556.94,1.39,39.38,3.53,4.03,6.11,1.8,0.84,0.84,7.89,0,0,0,0,4,0,0,0,0,0,0,0,4,2,0,852,852,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,4,0,0,0,0.853,0.921,0.843,NA,0.772,0.821,NA,0.573,0.896,0.941,0.951,0.703,362,557,202,55.22,85.25,110.23,9.32,133.81,194.5,96,43,7.72,22.11,1.767955801,24.92816162,108.5,556.94,0.195,0.074799508,0.220868408,6,0.690507153,24.92816162,66,2.31331,24.928162,1.055606,0.0499608457321848,0.20407204385278,0.0282693813625685,0.357948316366484,2.93108661141696
"492","12-198",6.1122097647006,"male","juvenile","2012",541.56,1.95,14.79,3.53,4.28,7.93,NA,0.84,0.84,7.89,0,1,0,0,45,112,0,0,0,7,0,0,2,5,539.5,2184.5,2724,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,157,0,7,7,0.777,0.961,0.836,NA,0.564,0.626,0.952,0.479,0.821,0.917,0.911,0.706,527,542,201,55.78,89.21,113.5,11.99,131.64,199,101,43,7.94,21.61,1.340522359,17.77130127,113,541.56,0.209,0.5991166,1.138530516,7,0.465794144,17.77130127,64,1.88899,17.771301,0.780192,0.0746357418971157,0.0826642878382397,0.0394489047477451,0.323818019625335,3.07075085352648
"493","12-199",0.0073182426963109,"female","juvenile","2012",493.77,-0.64,9.53,3.53,4.28,7.93,NA,0.84,0.84,7.89,0,0,0,0,9,0,0,0,0,2,1,0,1,4,0,1436.5,1436.5,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,9,0,3,3,0.777,0.961,0.836,NA,0.564,0.626,0.952,0.479,0.821,0.917,0.911,0.706,527,494,189,51.78,85.88,109.07,8.98,117.64,202,94,48,9.72,23.76,21.15157183,21.86071777,106,493.77,0.215,0.831346283,1.866993231,10,0.264409537,21.86071777,64,-0.788,21.860718,0.937563,NA,NA,NA,NA,NA
"494","12-200",67.1223865414606,"female","juvenile","2012",486.54,-0.48,-0.27,3.53,4.28,7.93,NA,0.84,0.84,7.89,0,0,0,0,9,0,0,0,0,0,3,0,2,3,0,1399,1399,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,9,0,3,3,0.777,0.961,0.836,NA,0.564,0.626,0.952,0.479,0.821,0.917,0.911,0.706,527,487,187,53.68,82.92,106.97,9.09,115.04,198,99,44,9.04,22.22,17.08015267,-1.313903809,110,486.54,0.226,0.750320198,1.539872444,8,0.357922453,-1.313903809,65,0.03475,-1.313904,0.045745,0.0434954527481218,0.0335112692763938,0.0194741004349545,0.618228548833531,2.06117640069279
"495","12-213",0.0647158755197309,"male","adult","2012",529,1.91,2.96,3.53,4.03,6.11,1.8,0.84,0.84,7.89,10,0,0,0,2,0,0,0,0,0,7,0,0,3,238,733,971,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,10,0,2,0,7,7,0.853,0.921,0.843,NA,0.772,0.821,NA,0.573,0.896,0.941,0.951,0.703,329,529,195,53.9,90.21,114.26,6.77,124.77,185,88,43,8.13,23.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,0.59702,30.249359,1.260379,0.261471010658402,0.092221634288306,0.0835286113840804,0.112706931740872,3.07802229029956
"496","12-217",0.0195884240663127,"male","adult","2012",534.78,-0.03,40.56,3.53,4.03,6.11,1.8,0.84,0.84,7.89,14,0,4,0,35,4,0,0,0,4,0,0,0,5,794,1375.5,2169.5,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,14,4,39,0,4,4,0.853,0.921,0.843,NA,0.772,0.821,NA,0.573,0.896,0.941,0.951,0.703,380,535,202,55.12,85.69,109.26,13.3,133.63,191,91,44,8.23,23.04,1.844317874,30.04977417,103,534.78,0.193,0.032575769,0.088882424,4,0.595366033,30.04977417,61,0.90557,30.049774,1.252698,0.0938071848213426,0.153038620822498,0.0117499759221805,0.372435712221901,2.79010364774179
"497","12-221",1.65153796792899,"female","juvenile","2012",474.64,-0.76,-7.61,3.53,4.28,7.93,NA,0.84,0.84,7.89,153,0,0,0,94,84,0,0,0,5,2,0,0,5,489,2040,2529,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,153,0,178,0,7,7,0.777,0.961,0.836,NA,0.564,0.626,0.952,0.479,0.821,0.917,0.911,0.706,356,475,198,53.02,81.26,109.58,9.35,110.29,206,101,46,9.69,22.33,33.09597523,-22.95471191,114,474.64,0.24,0.621677961,1.089103384,5,0.239075293,-22.95471191,64,0.53738,-22.954712,-0.787047,0.349521966097718,0.0832306880168925,0.00703853598451522,0.0651651123233034,2.75168586622231
"498","12-222",5.89816036617335,"female","juvenile","2012",503.6,-0.5,17.12,3.53,4.28,7.93,NA,0.84,0.84,7.89,0,0,8,0,12,0,0,0,0,0,2,0,0,4,1186.5,855,2041.5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,28,12,0,2,2,0.777,0.961,0.836,NA,0.564,0.626,0.952,0.479,0.821,0.917,0.911,0.706,356,504,183,54.32,83.38,109.44,8.18,127.12,207,97,50,9.93,24.15,67.90336497,28.82424927,107,503.6,0.212,0.482506639,0.88360191,4,0.442153274,28.82424927,63,-0.64009,28.824249,1.205537,0.325638406537283,0.0811712631937351,0.0302349336057201,0.0785154919986381,3.20469969439439
"499","12-375",1.80497833768806,"male","adult","2012",549.8,1.56,29.46,3.53,4.03,6.11,1.8,0.84,0.84,7.89,210,70,0,0,6,0,0,0,0,0,0,0,1,4,1107,754.5,1861.5,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,280,0,6,0,0,0,0.853,0.921,0.843,NA,0.772,0.821,NA,0.573,0.896,0.941,0.951,0.703,280,550,207,55.99,88.21,110.87,8.25,133.61,175,82,41,7.46,23.43,14.17648933,13.52111816,93,549.8,0.169,0.328514214,0.606747941,3,0.558534645,13.52111816,64,2.53349,13.521118,0.616634,NA,NA,NA,NA,NA
"500","12-383",0.00690426207171381,"male","adult","2012",497,0.3,-2.63,3.53,4.03,6.11,1.8,0.84,0.84,7.89,0,0,2,0,1,0,0,0,0,1,0,0,0,3,502.5,310,812.5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,2,1,0,1,1,0.853,0.921,0.843,NA,0.772,0.821,NA,0.573,0.896,0.941,0.951,0.703,384,497,195,53.69,85.25,110.61,8.67,120.33,195,95,44,8.85,22.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,0.5156,-0.17276,0.089659,0.295903396907798,0.0300756122333822,0.0497686491366663,0.0723394650716623,2.93386363573537
