Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	B3	10-270	TOX	24.03	0.01	-	Positive	Unchecked	Unknown	-	24.03	-	-	B3	SYBR Green I	 	0.39	2.40	None			15
255;0;0;255	C8	08-044	TOX	25.28	0.01	-	Positive	Unchecked	Unknown	-	25.29	-	-	C7	SYBR Green I	 	0.33	2.12	None			32
255;0;0;255	C7	08-044	TOX	25.29	0.01	-	Positive	Unchecked	Unknown	-	25.29	-	-	C7	SYBR Green I	 	0.33	2.14	None			31
255;0;0;255	H12		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A1	SYBR Green I	 	0.01	0.17	None			96
255;0;0;255	H11		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A1	SYBR Green I	 	0.01	-0.04	None			95
255;0;0;255	H10		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A1	SYBR Green I	 	0.03	0.31	None			94
255;0;0;255	H9		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A1	SYBR Green I	 	0.03	0.32	None			93
255;0;0;0	H2	Negative	TOX	-	-	-	Negative	Unchecked	Negative control	-	-	-	-	H1	SYBR Green I	 	0.00	0.01	None			86
255;0;0;0	H1	Negative	TOX	-	-	-	Negative	Unchecked	Negative control	-	-	-	-	H1	SYBR Green I	 	0.00	0.04	None			85
255;0;0;255	G12		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A1	SYBR Green I	 	0.02	0.25	None			84
255;0;0;255	G11		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A1	SYBR Green I	 	0.02	0.25	None			83
255;0;0;255	G10		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A1	SYBR Green I	 	0.01	-0.07	None			82
255;0;0;255	G9		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A1	SYBR Green I	 	0.02	0.28	None			81
255;0;0;255	E2		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A1	SYBR Green I	 	0.03	0.38	None			50
